codigo_actual,codigo_nuevo_propuesto,tipo_propuesto,familia_codigo_propuesta,familia_nombre_propuesta,subfamilia_propuesta,familia_actual,descripcion,unidad_medida,merma,precio_unidad,proveedor_precio,formato_compra,cantidad_formato_compra,unidad_formato_compra,precio_formato_compra,fecha_precio,url_precio,observaciones_precio,estado_revision,motivo_revision
ING-0711,ING-ACE-0005,ING,ACE,Aceites y grasas,Aceites y grasas,ALMACEN SECO,ACEITE GIRASOL,l,0.00,1.6900,CONSUM,Aceite de girasol botella 5 L,5.0000,l,8.4500,2026-06-13,https://tienda.consum.es/es/p/aceite-de-girasol-botella/7285179,Precio con IVA. €/L indicado por tienda.,propuesto,palabras clave aceite/grasa
ING-0712,ING-ACE-0006,ING,ACE,Aceites y grasas,Aceites y grasas,ALMACEN SECO,ACEITE NUEZ,l,0.00,,,,,,,,,,propuesto,palabras clave aceite/grasa
ING-0713,ING-ACE-0007,ING,ACE,Aceites y grasas,Aceites y grasas,SIN CLASIFICAR,ACEITE OLIVA 1L,l,0.00,4.9500,CONSUM,"Aceite de oliva 0,4º botella 1 L",1.0000,l,4.9500,2026-06-13,https://tienda.consum.es/es/c/despensa/conservas-aceites-condimentos/aceite-vinagre/aceite-de-oliva-intenso-suave/4000,Precio con IVA. €/L indicado por tienda.,propuesto,palabras clave aceite/grasa
ING-0714,ING-ACE-0008,ING,ACE,Aceites y grasas,Aceites y grasas,ALMACEN SECO,ACEITE OLIVA INTENSO,l,0.00,4.1500,CONSUM,Aceite de oliva intenso 1 L,1.0000,l,4.1500,2026-06-13,https://tienda.consum.es/es/p/aceite-de-oliva-intenso/7285190,Precio con IVA. €/L indicado por tienda.,propuesto,palabras clave aceite/grasa
ING-0715,ING-ACE-0009,ING,ACE,Aceites y grasas,Aceites y grasas,ALMACEN SECO,ACEITE OLIVA MONODOSIS 10MLX144U,l,0.00,11.9514,MAKRO,Capricho Andaluz AOVE ecopack 144 monodosis x 10 ml,1.4400,l,17.2100,2026-06-13,https://tienda.makro.es/shop/pv/BTY-X162210/0032/0021/Capricho-andaluz-Aceite-oliva-virgen-extra-ecopack-contiene-144-monodosis-10ml,"Precio con IVA. Convertido a €/L desde 1,44 L totales.",propuesto,palabras clave aceite/grasa
ING-0716,ING-ACE-0010,ING,ACE,Aceites y grasas,Aceites y grasas,ALMACEN SECO,ACEITE SESAMO BLUE DRAGON 150ML,l,0.00,19.9500,CONSUM,Aceite de sésamo Tiger Khan 200 ml,0.2000,l,3.9900,2026-06-13,https://tienda.consum.es/es/c/despensa/cocina-internacional/asiatico/4509,"Precio con IVA. Producto equivalente a aceite de sésamo, no marca Blue Dragon ni formato 150 ml.",propuesto,palabras clave aceite/grasa
ING-0717,ING-CON-0008,ING,CON,Conservas y encurtidos,Conservas y encurtidos,ALMACEN SECO,ACEITUNA GORDAL,kg,0.00,,,,,,,,,,propuesto,palabras clave conservas/encurtidos
ING-0718,ING-CON-0009,ING,CON,Conservas y encurtidos,Conservas y encurtidos,ALMACEN SECO,ACEITUNA NEGRA S/H.SERPIS LT2K,kg,0.00,10.3300,,,,,,,,,propuesto,palabras clave conservas/encurtidos
ING-0719,ING-CON-0010,ING,CON,Conservas y encurtidos,Conservas y encurtidos,ALMACEN SECO,ACEITUNA NEGRA SIN HUESO 400 G,ud,0.00,7.9300,CONSUM,CONSUM aceitunas negras sin hueso lata 150 g,0.1500,kg,1.1900,2026-06-13,https://tienda.consum.es/es/c/despensa/aperitivos-frutos-secos/aceitunas-encurtidos/1570,Precio con IVA. €/kg indicado por tienda. Equivalente a aceituna negra sin hueso; no formato 400 g.,propuesto,palabras clave conservas/encurtidos
ING-0720,ING-CON-0011,ING,CON,Conservas y encurtidos,Conservas y encurtidos,ALMACEN SECO,ACEITUNA VERDE DESHUESADA 400 GR,kg,0.00,14.3300,CONSUM,JOLCA aceituna manzanilla sin hueso pack 3 x 50 g,0.1500,kg,2.1500,2026-06-13,https://tienda.consum.es/es/c/despensa/aperitivos-frutos-secos/aceitunas-encurtidos/1570?page=2,Precio con IVA. €/kg indicado por tienda. Equivalente a aceituna verde deshuesada; no formato 400 g.,propuesto,palabras clave conservas/encurtidos
ING-0721,ING-CON-0012,ING,CON,Conservas y encurtidos,Conservas y encurtidos,ALMACEN SECO,ACEITUNA RELLENA ANCHOA 600 G,ud,0.00,6.7667,MAKRO,ARO aceituna rellena de anchoa lata 600 g,0.6000,kg,4.0600,2026-06-13,https://tienda.makro.es/shop/pv/BTY-X180788/0032/0021/aro-aceituna-rellena-de-anchoa-lata-600g,Precio con IVA/IGIC incluido. Convertido a €/kg desde 600 g.,propuesto,palabras clave conservas/encurtidos
ING-0722,ING-CON-0013,ING,CON,Conservas y encurtidos,Conservas y encurtidos,ALMACEN SECO,ALCAPARRAS CAPUC DELICIA FC 1250,kg,0.00,16.1000,,,,,,,,,propuesto,palabras clave conservas/encurtidos
ING-0723,ING-CON-0014,ING,CON,Conservas y encurtidos,Conservas y encurtidos,ALMACEN SECO,ALCAPARRAS.CAPUCC.SARASA FC.80,kg,0.00,1.6300,,,,,,,,,propuesto,palabras clave conservas/encurtidos
ING-0724,ING-CON-0015,ING,CON,Conservas y encurtidos,Conservas y encurtidos,ALMACEN SECO,ALCAPARRON 360G,kg,0.00,1.7000,,,,,,,,,propuesto,palabras clave conservas/encurtidos
ING-0725,ING-FV-0141,ING,FV,"Frutas, verduras y hierbas",Verduras y hierbas,ALMACEN SECO,ALGA ESPAGUETI DE MAR,kg,0.00,,,,,,,,,,propuesto,familia o palabras clave verduras
ING-0726,ING-FV-0142,ING,FV,"Frutas, verduras y hierbas",Verduras y hierbas,ALMACEN SECO,ALGAS NORI HIDEKO 28G 10 LAMINAS,kg,0.00,4.0800,,,,,,,,,propuesto,familia o palabras clave verduras
ING-0727,ING-SECOS-0001,ING,SECOS,Almacén seco general,Almacén seco general,ALMACEN SECO,ALL I OLI 1K makro,kg,0.00,7.8000,CONSUM,CHOVI salsa allioli PET 250 ml,0.2500,l,1.9500,2026-06-13,https://tienda.consum.es/vl/p/salsa-allioli-pet/7262413,Precio con IVA. €/L indicado por tienda. Se usa como aproximación €/kg por densidad similar.,revisar,almacén seco sin subclasificación clara
ING-0728,ING-LEG-0012,ING,LEG,Legumbres,Legumbres,ALMACEN SECO,ALUBIA ARO 500G BCA RIÑON,kg,0.00,2.4500,CONSUM,CONSUM alubia blanca paquete 1 kg,1.0000,kg,2.4500,2026-06-13,https://tienda.consum.es/es/p/garbanzo-lechoso-paquete/7316763,"Precio con IVA. Fuente relacionada muestra alubia blanca 1 kg a 2,45 €/kg. Equivalente a alubia blanca riñón.",propuesto,palabras clave legumbres
ING-0729,ING-LEG-0013,ING,LEG,Legumbres,Legumbres,ALMACEN SECO,ALUBIA BLANCA RINON HS 5KG,kg,0.00,2.4500,CONSUM,CONSUM alubia blanca paquete 1 kg,1.0000,kg,2.4500,2026-06-13,https://tienda.consum.es/es/p/garbanzo-lechoso-paquete/7316763,Equivalente retail; el inventario indica 5 kg. Precio con IVA €/kg.,propuesto,palabras clave legumbres
ING-0730,ING-LEG-0014,ING,LEG,Legumbres,Legumbres,ALMACEN SECO,ALUBIA COCIDA,kg,0.00,1.8800,CONSUM,CONSUM alubia blanca cocida frasco 400 g,0.4000,kg,0.7500,2026-06-13,https://tienda.consum.es/es/c/despensa/arroz-pastas-legumbres/legumbres/1654,Precio con IVA. €/kg indicado por tienda. Producto cocido.,propuesto,palabras clave legumbres
ING-0731,ING-LEG-0015,ING,LEG,Legumbres,Legumbres,ALMACEN SECO,ALUBIA NEGRA 500g mercadona,kg,0.00,3.1000,CONSUM,LUENGO alubia negrita paquete 500 g,0.5000,kg,1.5500,2026-06-13,https://tienda.consum.es/es/p/garbanzo-lechoso-paquete/7316763,Precio con IVA. €/kg indicado por tienda. Equivalente a alubia negra.,propuesto,palabras clave legumbres
ING-0732,ING-LEG-0016,ING,LEG,Legumbres,Legumbres,ALMACEN SECO,ALUBIA PINTA,kg,0.00,2.4000,CONSUM,CONSUM alubia pinta paquete 1 kg,1.0000,kg,2.4000,2026-06-13,https://tienda.consum.es/es/p/garbanzo-lechoso-paquete/7316763,Precio con IVA. €/kg indicado por tienda.,propuesto,palabras clave legumbres
ING-0733,ING-CON-0016,ING,CON,Conservas y encurtidos,Conservas y encurtidos,ALMACEN SECO,"APIO RALLADO CONSERVA 1,5KG",kg,0.00,2.3000,CONSUM,HUERCASA remolacha cocida y pelada 500 g,0.5000,kg,1.1500,2026-06-13,https://tienda.consum.es/es/c/frescos/verduras/2187?page=3,Producto de conserva/refrigerado equivalente a raíz rallada/cocida. Precio con IVA. €/kg indicado por tienda. Revisar por ser apio rallado.,propuesto,palabras clave conservas/encurtidos
ING-0734,ING-CER-0026,ING,CER,"Cereales, harinas, pan y masas","Cereales, harinas y masas",ALMACEN SECO,ARROZ ARBORIO 1KG,kg,0.50,3.7000,CONSUM,SCOTTI arroz risotto arborio 500 g,0.5000,kg,1.8500,2026-06-13,https://tienda.consum.es/es/c/despensa/arroz-pastas-legumbres/arroz/1640,Precio con IVA. Producto equivalente. Convertido a €/kg desde 500 g.,propuesto,palabras clave cereales/harina/masa
